archetype_id,governance_question,approach_label,signal_ids,cluster_ids
CANDIDATE__wall_graphics__vfd_wall_types_all_model_family_name_1002002__vfd_wall_types_phase_created_1012100,view_filter_strategy,Wall Identity/Performance View Filter Bundle + Wall Fire/Partition Phase View Filter Bundle,vfd__wall_types.all_model_family_name__1002002 | vfd__wall_types.phase_created__1012100,view_filter_strategy__cluster_001 | view_filter_strategy__cluster_005
CANDIDATE__wall_graphics__vfd_wall_types_all_model_family_name_1002002__vfd_wall_types_smoke_1943d5cf,view_filter_strategy,Wall Identity/Performance View Filter Bundle,vfd__wall_types.all_model_family_name__1002002 | vfd__wall_types.smoke__1943d5cf,view_filter_strategy__cluster_001
CANDIDATE__wall_graphics__vfd_wall_types_all_model_family_name_1002002__vfd_wall_types_smoke_rating_in_hours_831b6334,view_filter_strategy,Wall Identity/Performance View Filter Bundle + Wall Smoke Rating View Filter Bundle,vfd__wall_types.all_model_family_name__1002002 | vfd__wall_types.smoke_rating_in_hours__831b6334,view_filter_strategy__cluster_001 | view_filter_strategy__cluster_008
CANDIDATE__wall_graphics__vfd_wall_types_all_model_family_name_1002002__vfd_wall_types_sound_insulation_6f69d362,view_filter_strategy,Wall Identity/Performance View Filter Bundle,vfd__wall_types.all_model_family_name__1002002 | vfd__wall_types.sound_insulation__6f69d362,view_filter_strategy__cluster_001
CANDIDATE__wall_graphics__vfd_wall_types_all_model_family_name_1002002__vfd_wall_types_uniformat_code_1002500,view_filter_strategy,Wall Identity/Performance View Filter Bundle,vfd__wall_types.all_model_family_name__1002002 | vfd__wall_types.uniformat_code__1002500,view_filter_strategy__cluster_001
CANDIDATE__wall_graphics__vfd_wall_types_all_model_family_name_1002002__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,Wall Identity/Performance View Filter Bundle + View Template Filter Stack Bundle,vfd__wall_types.all_model_family_name__1002002 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_001 | view_filter_strategy__cluster_007
CANDIDATE__wall_graphics__vfd_wall_types_all_model_type_comments_1010105__vfd_wall_types_all_model_type_name_1002001,view_filter_strategy,Wall Identity/Performance View Filter Bundle,vfd__wall_types.all_model_type_comments__1010105 | vfd__wall_types.all_model_type_name__1002001,view_filter_strategy__cluster_001
CANDIDATE__wall_graphics__vfd_wall_types_all_model_type_comments_1010105__vfd_wall_types_fire_rating_in_hours_74ac43d8,view_filter_strategy,Wall Identity/Performance View Filter Bundle + Wall Fire/Partition Phase View Filter Bundle,vfd__wall_types.all_model_type_comments__1010105 | vfd__wall_types.fire_rating_in_hours__74ac43d8,view_filter_strategy__cluster_001 | view_filter_strategy__cluster_005
CANDIDATE__wall_graphics__vfd_wall_types_all_model_type_comments_1010105__vfd_wall_types_partition_code_type_e65ae52c,view_filter_strategy,Wall Identity/Performance View Filter Bundle + Wall Fire/Partition Phase View Filter Bundle,vfd__wall_types.all_model_type_comments__1010105 | vfd__wall_types.partition_code_type__e65ae52c,view_filter_strategy__cluster_001 | view_filter_strategy__cluster_005
CANDIDATE__wall_graphics__vfd_wall_types_all_model_type_comments_1010105__vfd_wall_types_phase_created_1012100,view_filter_strategy,Wall Identity/Performance View Filter Bundle + Wall Fire/Partition Phase View Filter Bundle,vfd__wall_types.all_model_type_comments__1010105 | vfd__wall_types.phase_created__1012100,view_filter_strategy__cluster_001 | view_filter_strategy__cluster_005
CANDIDATE__wall_graphics__vfd_wall_types_all_model_type_comments_1010105__vfd_wall_types_smoke_1943d5cf,view_filter_strategy,Wall Identity/Performance View Filter Bundle,vfd__wall_types.all_model_type_comments__1010105 | vfd__wall_types.smoke__1943d5cf,view_filter_strategy__cluster_001
CANDIDATE__wall_graphics__vfd_wall_types_all_model_type_comments_1010105__vfd_wall_types_smoke_rating_in_hours_831b6334,view_filter_strategy,Wall Identity/Performance View Filter Bundle + Wall Smoke Rating View Filter Bundle,vfd__wall_types.all_model_type_comments__1010105 | vfd__wall_types.smoke_rating_in_hours__831b6334,view_filter_strategy__cluster_001 | view_filter_strategy__cluster_008
CANDIDATE__wall_graphics__vfd_wall_types_all_model_type_comments_1010105__vfd_wall_types_sound_insulation_6f69d362,view_filter_strategy,Wall Identity/Performance View Filter Bundle,vfd__wall_types.all_model_type_comments__1010105 | vfd__wall_types.sound_insulation__6f69d362,view_filter_strategy__cluster_001
CANDIDATE__wall_graphics__vfd_wall_types_all_model_type_comments_1010105__vfd_wall_types_uniformat_code_1002500,view_filter_strategy,Wall Identity/Performance View Filter Bundle,vfd__wall_types.all_model_type_comments__1010105 | vfd__wall_types.uniformat_code__1002500,view_filter_strategy__cluster_001
CANDIDATE__wall_graphics__vfd_wall_types_all_model_type_comments_1010105__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,Wall Identity/Performance View Filter Bundle + View Template Filter Stack Bundle,vfd__wall_types.all_model_type_comments__1010105 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_001 | view_filter_strategy__cluster_007
